text,label
No,neutral
Nothing to report,neutral
Good course,positive
The exercise works are what helped me for the final,positive
No,neutral
Thank you very much for this learning method! I loved it,positive
/,neutral
It is a very rich and interesting course. In terms of planning time to work on the course I found it insufficient,positive
good teaching method,positive
More explanation on certain demonstrations: especially for students like me who had not done mathematics since Bachelor's 1st Year (license) it is complicated to get back to it after 3 years,negative
No,neutral
"The little Moodle quizzes were good for understanding, but perhaps not enough to practice and see different situations (1 or 2 more maximum)",neutral
"I appreciated being able to sit down calmly to do the course, especially with the paper format. Videos help to energize, however they are too fast and don't leave time to think. In addition, the time spent on these sessions was greater than a normal course duration if we want to do it well.",positive
"method appreciated for the autonomy of work and organization it grants. The regular tutorial sessions allowed me to stay up to date on the essential elements despite my big gap in following the course. It is more pleasant to follow a course when you are in good conditions than during an imposed schedule with an imposed pace without taking into account the fatigue or difficulties of each person. Despite a big delay in following the courses, this teaching method allowed me to catch up at my own pace and to be able to prepare properly for the exams. It's a surprising method at first but seeing the result and the satisfaction of understanding what we're doing at our own pace that it brings, it's a method that I really appreciated.",positive
no comment,neutral
"Combining lectures and online courses would be a more suitable method for me, particularly to keep a constant pace.",positive
it was good,positive
.,neutral
No,neutral
/,neutral
No other comments,neutral
Nothing to report,neutral
no comment,neutral
"For exercise work, it is very good to let the students search for themselves. However, you shouldn't let them search for too long either. Indeed, your questionnaire mainly concerns the pace of online courses but personally and my friends had a lot of difficulty with the exercise work. Most of the time we came away from the session with just the answer even though we didn't have the mathematical approach. I understand the course with the exercise work, if I don't have the whole process, I won't understand. Also for online courses, what's the point of using a digital format if you have to write down the formulas on the keyboard, it's infeasible, you might as well go to paper format, which is not suitable for everyone.",negative
no comment,neutral
?,neutral
Good teaching method,positive
.,neutral
"I would have preferred that the question/answer sessions were replaced by exercise work. Regarding exercise work, I prefer when you carry out a typical exercise step by step with the teacher and gradually gain autonomy. On certain exercise work I felt lost.",negative
Having wanted to make attendance in exercise work compulsory given that we did not follow all the courses on time surely made the exercise work more passive than active,neutral
"A suitable number of online courses and, in general, the exercise works were a very good way to understand the teacher's expectations and, above all, to carry out the required exercises.",positive
Nope,neutral
No,neutral
The videos are really well done and explained in the online courses,positive
no comment,neutral
no comment,neutral
No,neutral
No,neutral
The elimination of the lecture course destabilized me and therefore required more work. The tutorial sessions and the short training quizzes on moodle helped me to have the right methodology to succeed in the exercises,positive
No,neutral
/,neutral
Very good method allowing us to understand the course at home in silence with even applications!! thanks,positive
/,neutral
"very good teaching method, requires independent work and allows organization in terms of learning this course",positive
"I really liked this pedagogy which changes from traditional courses and which I find more stimulating and allows a better understanding of the course. It allows us to work alone, in peace (in a 160 auditorium) so it improves concentration",positive
no comment,neutral
"Very good course method which allowed me personally to better understand, to make personal efforts and to better understand the exercise work",positive
Thank you for this semester and this teaching method which changes and makes you want to work!,positive
.,neutral
"I really liked the moodle online course because it allowed me to really be 100% involved in the learning, without being disturbed by the noise in the lecture hall etc. However, for students in difficulty I like to have a few lecture sessions where the course is explained out loud by the teacher because sometimes I realize that I understand poorly/not enough alone. Also, working on the exercise work independently like this helped me a lot to learn the application, but sometimes with the answer key only on moodle I had difficulty understanding some points",positive
"""Viewing the course online allows for much more active note-taking than in a lecture course in a lecture hall. This allows for a better understanding of the notes from the first time they are seen. I think that it is easier to gain attention in an amphitheater class, while we are participants in the class, and we can go at the pace that suits us.""",positive
no comment,neutral
"Make the amphitheater session more interactive, by setting up wooclap like during the first session which in my opinion was the most productive because it allowed us to measure our understanding of the course in response to the different questions",positive
A pedagogy that works very well for this type of course,positive
I loved it!,positive
no comment,neutral
no,neutral
"Very good method of operation. I really appreciated that you took the time to explain to us well in exercise work, which was sometimes much more telling than the course itself. I find that the exercise work sessions generally allow you to understand the course well.",positive
no,neutral
/,neutral
No it's okay,positive
no comments,neutral
Nothing to add,neutral
"Overall the course was well organized and the fact of working alone or in a team during the exercise work allowed us to manage on our own and therefore to better understand the exercise. On the other hand, the sessions in the amphitheater for the questions and answers I did not understand the usefulness because we were repeating the course handouts on Moodle...",neutral
.,neutral
Have exercise work sessions spaced further apart because preparing two handouts over a week is complicated.,negative
no,neutral
Very good method,positive
no comment,neutral
"I did not attend the question and answer session because I did not have any questions, the exercise work sessions were sufficient for me to answer my questions",positive
no,neutral
"Class reports should be made at the end of the semester and students take the opportunity to ask questions. I didn't really like this method of learning, it should be a complement to the lecture course with some lectures however in a lecture hall for the important points especially at the beginning. However, the greater number of exercise work is a very good point. Thank you for this year, have a great holiday",negative
"Although we are in a group and we have reviewed the course before coming to class, the latter are, most of the time, hard and the clues given during the session are sometimes too light. On the other hand, after redoing the exercise work with the correction, we understand the reasoning quite quickly although certain calculation steps are sometimes difficult to understand",negative
"""Despite many hours of face-to-face tutorials and work independently or in groups to prepare for the final, the exam went poorly, particularly due to my lack of self-confidence in this subject (mathematically + retaining/mastering the formulas a perfection), I think that a more ""realistic"" approach (course reminder or authorized form), would allow us to better understand exercises, and not waste precious time finding formulas, the complexity of the exercises making the work is even harder.""",negative
The online courses are too long and it would be necessary to vary with lectures to better understand or give more explanations in the videos (and detailed calculations!),negative
no comment,neutral
Too much distance in my opinion for understanding the course,negative
"Quite an interesting approach for independent students. Personally, I very rarely go to lectures in other subjects and this allowed me to follow the courses independently, when I wanted and at the desired speed. On the other hand, I think it can be very complicated to be rigorous and you can easily get lost and be very late but there is no possible solution for this problem.",negative
"Maybe divide the course videos so that they are shorter, less than 5 minutes, seeing that a video is too long is demoralizing.",negative
no,neutral
"I have no comments, I really appreciated this teaching method which allowed you to work independently when you were concentrated and really motivated.",neutral
